fascode	module	a2x	a2	a2a	a2b	a2c	a2dx	a2d	a2d1	a2ex	a3a1	a3b	a3a	a4yr	a4mth	a5	a6a	a6b	a7	a8	a9	a10	a10a	a11	a12ax	a12bx	a12cx	a12dx	a12ex	a12fx	a12f1	a12e1	a12d1	a26	a27x	a27	a17	a18	a19	a20	a21	commid07	fcode07	a2e	a4mthx	a4yrx	bookt	bd00a	bd01a_a	bd01a_b	bd01a_c	bd01a_d	bd01a_e	bd01a_f	bd01a_v	bd01aa	bd01ba	bd01bb	bd01bc	bd01bd	bd02a	bd03b	bd04b	bd04a	bd08	bd09	bd10	b14x	b14aday	b14amth	b14bday	b14bmth	b16ba	b16f	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	e12	e13	e14	e15	e16	e17	e18	lk05	lk13	lk15	lk16	lk17	lk19	lk20	lk21	lk22	lk23	lk010700	lk020700	lk030700	lk010707	lk020707	lk030707	pb1	pb2	pb3	pb3a	pb3b	pb3c	pb3d	pb3e	pb3f	pb3g	pb3h	pb3i	pb3j	pb3t	pb4	pb5	ph00	ph01	idivwr	editor	numvis	ivwday1	ivwday2	ivwday3	ivwmth1	ivwmth2	ivwmth3	ivwyr1	ivwyr2	ivwyr3	beghr1	beghr2	beghr3	begmin1	begmin2	begmin3	endhr1	endhr2	endhr3	endmin1	endmin2	endmin3	result1	result2	result3	langmain	langothr	fp2	fp3	fp4	fp5	fp6a	fp6b	fp6c	cp1a	cp1b	cp1c	cp2a	cp2b	cp2c	cp3a	cp3b	cp3c	cp4a	cp4b	cp4c	hpr1	hpr3	hpr4	hpr5	hpr11a	hpr11b	hpr11c	hpr11d	hpr11e	hpr11f	hpr11g	hpr11h	hpr11i	hpr11j	hpr11k	hpr11l	hpr11m	hpr11n	hpr11o	hpr12a	hpr12b	hpr12c	hpr12d	hpr12e	hpr12f	hpr12g	hpr12h	hpr12i	hpr12j	hpr12k	hpr12l	hpr12m	hpr12n	hpr13a	hpr13b	hpr13c	hpr13d	hpr13e	hpr13f	hpr13g	hpr13h	hpr14a	hpr14b	hpr14c	hpr14d	hpr14e	hpr14f	hpr14g	hpr15	hpr17	hpr18	hpr19	hpr25a	hpr25b	hpr25c	hpr25d	hpr25e	hpr25f	hpr25g	hpr25h	hpr25i	hpr25j	hpr25k	hpr25l	hpr25m	hpr25n	hpr25o	hpr25q	hpr26a	hpr26b	hpr26c	hpr26d	hpr26e	hpr26f	hpr26g	hpr26h	hpr26i	hpr26j	hpr26k	hpr26l	hpr26m	hpr26n	hpr27a	hpr27b	hpr27c	hpr27d	hpr27e	hpr27f	hpr27g	hpr27h	hpr27i	hpr27j	hpr28a	hpr28b	hpr28c	hpr28d	hpr28e	hpr28f	hpr28g	hpr28h	hpr28i	hpr29a	hpr29b	hpr29c	hpr29d	hpr29e	hpr29f	hpr29g	hpr29h	hpr30	hpr32	hpr33	hpr34	hpr40a	hpr40b	hpr40c	hpr40d	hpr40e	hpr40f	hpr40g	hpr40h	hpr40i	hpr40j	hpr40k	hpr40l	hpr40m	hpr40n	hpr40o	hpr41a	hpr41b	hpr41c	hpr41d	hpr41e	hpr41f	hpr41g	hpr41h	hpr41i	hpr41k	hpr41l	hpr42b	hpr42c	hpr42d	hpr42e	hpr42f	hpr42g	hpr42h	hpr42i	hpr42j	hpr42k	hpr42l	hpr42m	hpr42n	hpr42o	hpr42p	hpr42q	hpr43b	hpr43c	hpr43d	hpr44a	hpr44b	hpr44c	hpr44d	hpr44e	hpr44f	hpr44g	hpr44h	hpr44i	hpr44j	hpr44k	hpr45	hpr47	hpr48	hpr49	hpr55a	hpr55b	hpr55c	hpr55d	hpr55e	hpr55f	hpr55g	hpr55h	hpr56a	hpr56b	hpr56c	hpr56d	hpr56e	hpr57a	hpr57b	hpr57c	hpr57d	hpr57e	hpr57f	hpr57g	hpr57h	hpr57i	hpr57j	hpr57k	hpr57l	hpr57m	hpr57n	hpr58a	hpr58b	hpr58c	hpr58d	hpr58e	hpr58f	hpr58g	hpr58h	hpr58i	hpr59a	hpr59b	hpr59c	hpr59d	hpr59e	hpr59f	hpr59g	hpr59h	hpr59i	hpr59j	hpr59k	hpr59l	hpr59m	hpr60a	hpr60b	hpr60c	hpr60d	hpr60e	hpr60f	hpr60g	hpr60h	hpr60i	hpr60j	hpr60k	hpr6_1	hpr7_1	hpr8_1	hpr6_2	hpr7_2	hpr8_2	hpr6_3	hpr7_3	hpr8_3	hpr6_4	hpr7_4	hpr8_4	hpr20_1	hpr21_1	hpr22_1	hpr20_2	hpr21_2	hpr22_2	hpr20_3	hpr21_3	hpr22_3	hpr20_4	hpr21_4	hpr22_4	hpr35_1	hpr36_1	hpr37_1	hpr35_2	hpr36_2	hpr37_2	hpr35_3	hpr36_3	hpr37_3	hpr35_4	hpr36_4	hpr37_4	hpr35_5	hpr36_5	hpr37_5	hpr35_6	hpr36_6	hpr37_6	hpr35_7	hpr36_7	hpr37_7	hpr50_1	hpr51_1	hpr52_1	hpr50_2	hpr51_2	hpr52_2	hpr50_3	hpr51_3	hpr52_3	hpr50_4	hpr51_4	hpr52_4	hpr50_5	hpr51_5	hpr52_5	hpr50_6	hpr51_6	hpr52_6	hpr50_7	hpr51_7	hpr52_7
"1392113"	"PRA"	1	32	3	2	3							2005	2	10	1	1	1	1	1	1	1	3														1	1	2	1		"3233"	"32332113"		"1"	"1"	"PRA"	3																				1	27	4	3	5	3	3	3	3	3		6	3	1	1		3								"B"	1	3	"J76"	"J86"	"J51"	"H11"	3	3	3	3	32	75	40	32	75	40	1	2	"GH"							1	1			2	1	1	3		"J76"	"J86"	1	5			5			8			18			30			20			15			1			0	96	1	1		2	3	1	3	"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			3																																																3																																																													1	4	1997	1	1	1	2	2	2	2	1	1	1	2	1	3	1	3	2	2	3	3	3	1	3	1	3	3	1	2	1	2	2	2	2	1	3	3	2	2	2	3	3	3	3	3	3	3	3	1	2	2	3	2	2	3	3	3	3	1	1	4	1997	1	3	3	2	3	3	3	3	3	1	1	2	1	1	3	3	3	1	3	3	3	3	3	3	3	3	3	3	1	1	2	2	2	3	3	1	1	1	1	3	3	3	3	3	3	3	3	3	3	3	1	2	1	1	3	2	2	3	3	1	1																									1	3	3	3			3			3			1	3	3	3			1	3	3	1	3	3	1	3	3	1	3	3	3			3			1	3	3	3		
"1402108"	"PRA"	1	48	1							7	1986	1987	5	2	95	1	1	3		1	1	3														1	1	1	1		"3233"	"32332158"		"1"	"1"	"PRA"	3																				1	27	4	3	5	3	5	3	3	3		1	1	1	1		1	3	3	3		1	1	1	"B"	1	2	"J72"	"J86"	"J51"	"H11"	3	3	3	1	32	75	40	32	75	40	1	4	"ACGH"	1		1				1	1			4	1	1	3		"J72"	"J86"	1	5			5			8			15			42			17			35			1			0	96	1	1		2	3	1	3	"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			1	1	1986	1	1	1	1	1	2	2	2	2	2	1	2	1	2	1	2	2	2	1	3	3	1	1	1	1	1	2	2	3	2	1	1	1	2	1	1	1	1	1	1	1	1	3	3	3	3																																																													1	4	2005	1	1	1	2	2	2	1	1	1	1	1	2	2	2	2	1	1	1	3	3	2	2	2	3	3	2	2	1	1	1	1	1	3	2	1	2	1	1	2	2	2	1	3	1	1	3	1	1	2	2	1	3	2	3	2	3	2	1	4	2005	1	1	1	1	2	1	1	2	2	1	1	2	1	1	1	1	3	2	1	3	3	3	3	3	2	3	2	3	1	1	1	1	3	3	2	1	1	1	1	2	2	3	3	3	3	3	3	3	2	3	1	2	2	2	3	2	2	3	1	1	1	1	3	3	1	3	3	1	3	3	1	3	3													3			3			3			3			3			3			3			1	3	1	3			3			3			3			3			3		
"1392250"	"PRA"	1	70	3	2	3							1983	25	3	1	3	3	3		1	1	3														1	1	2	1		"3233"	"32332250"		"1"	"1"	"PRA"	3																				1	27	4	3	5	3	2	3	3	1	3	3	1	1	1		3								"B"	1	2	"J76"	"J86"	"J51"	"H11"	3	3	3	3	32	75	50	32	75	50	1	16	"AGH"	3						6	7			16	1	1	3		"J76"	"J86"	1	8			5			8			16			0			17			50			1			0	96	1	1		2	3	1	3	"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			1	1	1979	1	1	2	2	2	1	1	1	2	2	1	2	2	2	1	1	2	2	2	3	3	1	1	1	1	2	2	1	3	3	1	1	1	2	2	2	2	1	1	2	1	1	3	3	3	3																																																													1	4	2001	1	1	1	2	2	2	2	1	1	1	1	2	2	2	2	2	1	1	3	3	2	2	2	3	3	3	3	1	1	1	1	1	3	2	1	1	2	2	2	2	2	1	3	2	1	3	1	1	2	2	2	3	3	3	2	3	2	1	4	2001	1	1	1	1	2	2	1	2	2	1	2	2	2	2	2	2	3	2	2	3	3	3	3	3	1	3	2	3	1	1	1	2	3	3	2	1	2	1	1	2	2	3	3	3	3	3	3	3	3	3	1	2	2	2	3	2	2	3	2	1	1	1	3	3	1	3	3	1	3	3	1	3	3													3			3			3			3			3			3			3			1	1		1	1		1	1		3			3			3			3		
"1392251"	"PRA"	1	35	1							7	2000	2004	4	0	4	3	3	3		1	1	3														1	1	2	1		"3233"	"32332251"		"3"	"1"	"PRA"	3																				1	27	4	3	5	3	3	3	3	3		1	1	1	1		1	3	3	3		1	1	1	"B"	1	2	"J72"	"J86"	"J51"	"H11"	3	3	3	3	32	75	40	32	75	40	1	8	"AFGH"	3					1	1	3			8	1	1	3		"J72"	"J86"	1	5			5			8			19			37			21			31			1			0	96	1	1		2	3	1	3	"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			1	1	2000	1	1	1	1	2	2	2	1	1	2	1	2	2	2	2	2	1	2	2	3	3	1	1	1	1	2	2	2	3	3	1	1	1	2	1	1	1	1	1	1	1	1	3	3	3	1	1	2000	1	1	1	1	1	2	1	2	3	2	3	2	2	2	2	1	1	3	2	3	3	1	2	3	3	3	2	3	1	1	1	1	3	1	1	2	2	2	3	1	1	3	1	3	1	3	3	3	1	3	3	1	1	2	2	3	3	2	1	1	2000	1	1	1	1	1	1	2	2	2	1	1	1	2	2	2	2	1	1	3	3	2	2	2	3	3	2	2	1	1	1	1	1	3	2	1	1	1	1	2	2	2	1	3	1	1	3	1	1	2	2	1	3	2	2	1	3	2	1	1	2000	1	1	1	1	2	2	2	2	2	1	2	2	1	2	1	1	3	2	2	3	3	3	3	3	2	3	2	3	1	1	1	1	3	3	2	1	1	1	1	2	2	3	3	3	3	3	3	3	2	3	1	2	3	2	3	1	2	3	1	1	2	1	1		1	1		1	1		1	1		1	1		1	1		1	3	1	1	3	1	3			1	3	1	1	3	1	3			3			3			3			3			3			3			3			3			3			3		
"1402250"	"PRA"	1	46	3	4	3							2001	7	1	3	3	3	1	5	1	3	3														1	1	2	1		"3233"	"32332300"		"1"	"1"	"PRA"	3																				1	27	4	3	5	3	4	3	3	3		1	1	1	1		3								"A"	1	2	"J76"	"J86"	"J51"	"H11"	3	3	3	3	32	75	40	32	75	40	1	5	"AGH"	1						1	3			5	1	1	3		"J76"	"J86"	2	9	10		5	5		8	8		18	18		30	30		18	19		50	50		2	1		0	96	1	1		2	3	1	3	"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			1	5	2001	1	1	1	2	1	2	2	1	3	2	1	2	1	1	2	2	3	3	3	3	3	1	2	3	3	3	3	3	3	3	1	1	2	2	2	2	2	2	3	3	3	1	3	3	3	1	5	2001	1	1	1	1	1	2	2	2	1	3	2	2	1	1	1	1	1	1	1	2	3	2	3	3	3	3	3	3	2	2	1	1	3	2	2	3	3	3	3	2	3	3	1	3	3	1	3	3	3	3	3	3	2	3	3	2	1	3	1	3	2001	1	1	1	3	3	3	2	1	1	1	1	1	3	3	3	3	3	3	3	3	1	3	1	3	3	1	1	1	1	1	1	1	1	3	3	1	2	2	3	3	3	3	3	3	3	3	1	1	2	3	3	2	3	3	3	3	1	1	4	1980	1	3	3	3	3	3	3	3	1	1	2	3	1	1	3	3	3	1	3	3	3	3	3	3	3	3	3	3	1	1	1	1	3	3	3	1	1	1	3	3	3	3	3	3	3	3	3	3	3	3	1	2	1	2	3	2	3	3	3	2	2	3			3			3			3			3			3			3			3			3			3			3			3			3			3			3			1	3	3	1	3	3	1	3	3	3			1	3	3	1	3	3	3		
"1402252"	"PRA"	1	28	3	5	3							2002	6	1	95	3	3	3		1	3	3														1	1	2	1		"3233"	"32332302"		"1"	"1"	"PRA"	3																				1	27	5	3	5	3	3	3	3	3		6	3	1	1		3								"W"	1	2	"J72"	"J86"	"J51"	"H11"	3	3	3	3	32	75	40	32	75	40	1	3	"AH"	1							2			3	1	1	3		"J72"	"J86"	1	7			5			8			16			41			18			19			1			0	96	1	1		2	3	1	3	"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			1	3	2006	1	1	1	1	1	1	2	2	2	1	1	1	1	2	1	1	2	2	2	3	3	1	1	1	1	2	2	2	3	3	1	1	1	2	2	2	1	1	1	1	1	1	3	3	3	3																																																													1	3	2006	1	1	1	1	1	1	2	1	1	1	1	1	2	2	2	2	1	1	3	3	2	2	2	3	3	3	3	1	1	1	1	1	3	2	1	1	1	1	2	2	2	1	3	1	1	3	1	1	2	2	2	3	3	3	2	3	2	3																																																																1	3	1	1	3	1	1	3	1	1	3	1													3			3			3			3			3			3			3																							
"1402253"	"PRA"	1	38	3	2	1	1	6	2	1			2006	2	3	4	1	3	3		1	3	1	1	1	1	1	1	1	3	32	16	10	4	1	30	1	1	2	1		"3233"	"32332303"	300000	"1"	"1"	"PRA"	3																				1	27	4	3	5	3	2	3	3	1	3	3	1	1	1		3								"B"	1	3	"J72"	"J86"	"J51"	"H11"	3	3	3	3	32	75	30	32	75	31	3																3		"J72"	"J86"	1	10			5			8			15			21			16			52			1			0	96	1	1		1	3	1	3	"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			3																																																3																																																													1	4	1990	1	1	1	2	2	2	2	1	1	1	1	1	2	2	2	2	1	1	3	3	2	2	2	3	3	3	3	1	1	1	1	1	3	2	2	1	1	1	2	2	2	1	3	2	2	3	1	1	2	3	3	3	3	3	3	3	2	1	4	1990	1	1	1	1	2	2	1	2	2	1	2	2	1	2	1	1	3	2	2	3	3	3	3	3	2	3	2	3	1	1	1	1	3	3	2	2	2	1	1	1	1	3	3	3	3	3	3	3	3	3	1	2	2	2	3	2	2	3	2	1	1																									1	3	3	1	3	3	1	3	3	3			1	3	3	3			3			1	1		1	1		1	1		3			1	3	1	1	3	1	3		
"1402255"	"PRA"	1	30	1							7	2003	2000	7	11	95	3	3	3		1	1	3														1	1	1	1		"3233"	"32332305"		"1"	"1"	"PRA"	3																				1	7	4	3	5	3	4	3	3	3		1	1	1	6		3								"W"	1	2	"J76"	"J86"	"J51"	"H11"	3	3	3	3	32	75	40	32	75	40	1	5	"AFH"	1					1		3			5	1	1	3		"J76"	"J86"	1	7			5			8			15			30			17			15			1			0	96	1	1		2	3	1	3	"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			1	1	2003	1	1	2	2	2	1	2	1	2	1	1	1	2	1	1	1	3	3	3	3	3	1	3	3	3	3	3	3	3	3	1	1	2	1	1	1	2	2	1	3	1	1	3	3	3	1	1	2003	1	1	1	1	1	1	1	2	1	2	2	1	1	1	1	1	1	1	1	3	3	3	3	3	3	3	3	3	2	2	1	1	3	2	2	2	2	3	3	2	2	3	1	3	1	3	3	3	3	3	2	1	2	2	3	3	1	1	1	3	2007	3	1	1	2	2	2	1	1	1	1	1	1	2	1	3	1	1	3	3	3	1	3	1	3	3	1	1	1	1	1	1	1	1	3	3	2	3	2	3	3	3	3	1	3	3	3	1	1	1	2	2	2	3	3	3	3	1	3																																																																1	3	1	1	3	1	1	3	1	3			1	3	1	1	3	1	3			3																																												
"1412104"	"PRA"	1	36	3	2	3							1997	10	4	1	3	3	3		1	1	1	1	1	1	1	3	3	3	36	3	162	4	1	6	1	1	2	3	1	"3234"	"32342104"		"1"	"1"	"PRA"	1	3	4	0	4	4	1	1	92	42	0	10	10	70	100	0	6	1	1	1	1	2	3	8	3	1	3	3	3	1	3	6	1	1	1		3								"W"	2	5	"H71"	"H86"	"H51"	"H11"	3	3	3	3	36	3	160	36	3	162	3																3		"H71"	"H86"	1	12			3			8			18			30			19			30			1			0	96	1	1		2	3	3	3	"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			3																																																3																																																													1	4	1995	1	1	1	1	2	1	2	2	2	2	2	2	2	1	3	2	3	3	3	2	1	2	1	3	3	1	2	1	1	1	1	1	3	3	1	1	1	2	3	2	2	1	3	3	1	3	2	1	2	3	2	2	2	3	3	3	1	1	4	1995	1	2	1	2	2	1	3	1	2	1	1	2	1	2	1	1	3	2	2	2	1	3	3	3	3	3	2	2	1	1	1	2	3	3	2	2	1	1	1	3	1	2	2	3	2	3	3	3	2	3	1	2	2	1	2	2	2	3	2	1	2																									3			3			3			3			1	1		3			1	3	1	1	1		1	3	3	1	3	3	3			1	3	1	3			3		
"1412250"	"PRA"	1	35	3	2	3							2003	5	1	1	3	3	3		1	3	1	1	1	8	1	1	3	3	36	3	162	4	1	42	1	1	2	3	1	"3234"	"32342250"		"1"	"1"	"PRA"	3																				1	24	2	1	3	1	2	3	3	1	3	6	1	1	1		3								"W"	2	3	"H71"	"H86"	"H51"	"H11"	3	3	3	3	36	3	160	36	3	162	3																3		"H71"	"H86"	1	8			3			8			19			40			20			40			1			0	96	1	1		2	3	3	3	"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			3																																																3																																																													1	4	1994	1	1	1	1	3	1	2	2	2	2	2	1	2	1	3	3	3	3	3	2	1	2	1	3	3	1	1	1	2	1	2	1	3	2	1	1	1	1	3	2	2	1	3	3	1	3	1	1	2	3	2	2	2	3	3	3	1	1	4	1994	1	2	1	2	1	1	3	2	2	2	1	1	1	2	2	2	3	1	2	2	2	3	3	3	3	3	1	2	1	1	1	1	3	3	2	2	1	1	1	3	2	3	3	3	3	3	3	3	2	3	1	2	1	2	2	2	2	3	2	1	1																									1	3	1	3			1	3	3	1	3	3	3			3			1	3	1	1	3	1	1	3	1	1	3	1	3			1	3	1	1	3	3	3		
"1412252"	"PRA"	1	37	1							5	1997	2002	6	0	3	3	3	3		1	3	3														1	1	2	1		"3234"	"32342252"		"3"	"1"	"PRA"	3																				1	2	3	8	3	1	2	3	3	1	1	1	1	1	1		3								"W"	1	1	"H72"	"H86"	"H51"	"H11"	3	3	3	3	36	3	160	36	3	162	3																3		"H72"	"H86"	1	11			3			8			21			15			22			45			1			0	96	1	1		2	3	3	3	"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			1	1	1997	1	1	1	2	1	2	3	1	2	2	1	2	2	2	2	2	2	3	1	2	3	1	3	1	1	2	1	1	1	2	1	1	1	1	2	1	2	1	2	3	1	3	3	3	3	1	1	1997	1	1	2	1	1	2	2	2	3	2	2	1	1	3	1	1	1	2	2	2	1	2	3	2	1	1	2	3	1	2	1	1	3	1	1	1	3	2	3	1	1	3	1	3	3	1	3	3	2	3	2	1	1	2	3	3	1	3	1	1	1997	1	2	1	1	2	1	2	1	1	1	3	1	2	1	3	2	3	3	3	3	1	2	1	3	3	1	1	1	1	1	1	1	3	2	1	1	1	1	3	2	2	1	3	3	1	3	1	1	2	3	2	2	2	3	3	3	1	1	1	1997	1	1	2	2	1	1	3	2	1	1	1	2	1	2	1	2	3	2	2	1	1	3	3	3	3	3	1	2	3	1	1	1	3	2	3	2	1	1	1	3	2	3	3	3	3	3	3	3	1	2	1	2	1	3	3	2	3	3	3	1	1	3			3			1	3	1	1	3	1	3			3			1	3	1	1	3	1	1	3	1	1	3	1	1	1		3			1	3	1	1	1		1	1		1	3	3	1	3	3	3			1	3	1	1	3	3	1	3	1	3		
"1412265"	"PRA"	1	33	3	2	3							1994	13	4	1	3	3	1	1	1	1	1	1	1	1	8	1	3	3	36	3	160	4	1	32	1	1	1	1		"3234"	"32342265"		"1"	"1"	"PRA"	3																				1	2	3	8	3	1	3	3	3	3		6	1	1	6		3								"A"	1	3	"H72"	"H86"	"H51"	"H11"	3	3	3	3	36	3	160	36	3	162	3																3		"H72"	"H86"	1	9			3			8			11			0			12			45			1			0	96	1	1		2	3	1	3	"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			3																																																3																																																													1	4	1994	1	3	2	2	2	2	2	2	2	2	3	2	2	1	2	2	1	3	2	2	2	2	1	2	2	1	2	1	2	2	1	2	3	2	2	1	2	2	3	3	2	1	3	3	1	3	1	1	1	2	2	2	2	3	3	3	1	1	4	1994	1	1	2	2	1	1	2	2	1	1	1	2	2	2	2	2	2	2	2	2	2	3	1	1	2	2	2	2	1	1	1	2	3	2	3	2	1	1	2	3	3	3	3	3	3	3	3	3	3	1	1	2	2	1	1	2	2	3	1	2	2																									1	3	1	3			1	3	1	3			1	1		1	3	1	1	3	1	1	1		1	1		1	1		1	1		1	1		1	3	1	3		
"1413021"	"PRA"	1	54	3	1	3							1973	35	1	1	3	3	3		1	1	3														1	1	2	3	1	"3234"	"32343021"		"1"	"1"	"PRA"	3																				1	2	3	8	3	1	2	3	3	1	1	1	1	1	1		3								"W"	1	4	"H71"	"H86"	"H51"	"H11"	3	3	3	3	36	3	160	36	3	162	1	3	"AJ"	1									2	3	1	1	3		"H71"	"H86"	1	9			3			8			13			0			14			15			1			0	96	1	1		2	3	1	3	"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			1	5	1972	1	1	1	2	1	1	2	1	2	2	1	2	2	2	1	2	2	3	2	2	3	1	2	1	1	2	3	2	2	1	1	1	1	1	2	1	2	1	1	2	1	2	3	3	3	1	5	1972	1	1	1	1	2	2	2	2	3	2	3	1	1	3	2	2	1	2	2	3	2	1	3	2	1	1	2	3	1	1	2	1	3	1	1	2	2	2	3	1	1	3	1	3	3	2	3	3	3	3	1	1	2	2	3	3	2	3	3																																																												3																																																																1	3	3	1	3	3	1	3	1	1	3	1	1	3	3	1	3	3	1	3	1	1	3	1																																										
"1422250"	"PRA"	1	34	3	2	3							2001	7	2	1	3	3	3		1	3	1	1	1	1	1	3	3	3	36	3	210	4	1	24	1	1	2	1		"3235"	"32352250"		"1"	"1"	"PRA"	1	10	12	22	12	4	7	0	30	57	48	132	189	100	100	90	6	1	3	1	1	9	3	15	3	1	1	3	3	1	3	1	1	1	1		3								"B"	1	5	"H72"	"H86"	"H51"	"H11"	3	3	3	3	36	3	210	36	3	210	1	3	"GH"							2	1			3	1	1	3		"H72"	"H86"	1	16			3			8			16			15			18			0			1			0	96	1	1		2	3	1	3	"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			1	4	1996	1	1	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	3	2	3	3	2	2	1	3	2	2	2	2	1	1	1	2	2	2	1	2	2	3	3	1	1	3	3	3	3																																																													1	4	1996	1	1	1	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	3	3	1	2	1	2	2	1	1	1	1	1	2	2	3	2	1	1	2	2	3	3	2	2	3	3	1	3	1	1	1	3	3	2	3	3	3	3	1	1	4	1996	1	1	1	2	2	1	1	2	2	1	2	2	2	2	2	2	3	2	2	2	2	3	1	1	2	2	2	2	3	1	1	2	2	3	3	1	2	1	1	2	2	3	3	3	3	3	3	3	2	2	2	1	1	1	2	2	2	2	2	2	2	3			3			1	3	1	1	3	1													1	3	1	1	3	1	1	1		3			1	1		1	1		1	1		1	1		1	1		1	1		1	1		1	3	1	1	3	1	3		
"1422252"	"PRA"	1	26	3	4	3							2007	1	2	3	3	3	3		1	1	1	1	1	1	1	3	3	3	36	3	200	5	1	31	1	1	2	3	1	"3235"	"32352252"		"1"	"1"	"PRA"	1	14	10	7	3	3	14	0	999	18	1	3	1	90	100	100	95	1	3	1	1	9	3	15	3	1	2	3	3	1	3	3	1	1	6		3								"B"	2	5	"H72"	"H86"	"H51"	"H11"	3	3	3	3	36	3	200	36	3	200	3																3		"H72"	"H86"	1	19			3			8			16			0			17			30			1			0	96	1	1		2	1	1	3	"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			1	4	2004	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	3	2	3	3	1	2	1	3	2	2	2	2	2	1	1	2	1	2	1	2	2	2	3	1	1	3	3	3	3																																																													1	4	2004	1	1	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	3	3	3	2	2	1	3	3	1	2	2	1	2	2	2	3	2	2	1	1	1	3	2	2	2	3	2	1	3	1	1	3	2	2	2	2	3	3	3	2	1	4	2004	1	1	2	1	1	2	2	2	2	1	2	2	2	2	2	2	3	2	2	1	1	2	1	2	1	2	1	1	3	2	1	2	2	3	2	2	2	1	3	3	3	3	3	3	3	3	3	3	3	3	1	2	1	2	2	2	2	2	2	2	2	3			3			3			3															1	1		3			1	3	1	1	3	1	3			1	3	1	1	3	1	1	1		1	1		1	1		3			3			3			3		
"1422262"	"PRA"	1	34	3	2	3							1994	14	98	1	3	3	3		1	1	3														1	1	2	1		"3235"	"32352262"		"1"	"1"	"PRA"	3																				1	9	3	15	3	3	1	3	3	1	3	6	1	1	1		3								"B"	1	3	"H86"	"H86"	"H51"	"H11"	3	3	3	3	36	3	200	36	3	200	1	3	"GJ"							2			1	3	1	1	3		"H86"	"H86"	1	19			3			8			15			0			16			30			1			0	96	1	1		2	1	1	3	"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			1	4	1993	1	1	1	2	2	1	2	2	2	1	2	1	2	1	2	2	2	3	2	3	3	3	2	2	2	3	2	1	2	1	2	2	1	2	2	2	1	1	2	3	3	1	3	3	3	1	4	1993	1	2	2	2	2	1	2	2	1	2	2	2	2	2	1	1	2	2	2	1	2	2	3	3	2	2	2	3	1	1	1	1	3	1	1	2	3	2	3	1	1	3	1	3	3	3	3	3	3	3	2	2	1	2	1	3	3	1	1	4	1993	1	2	2	1	2	2	2	2	2	2	3	2	2	1	2	2	2	2	3	2	1	2	1	2	3	1	2	1	2	2	2	1	3	2	2	2	2	2	3	2	2	1	3	3	3	3	1	1	2	3	2	3	3	3	3	3	2	1	1	1993	1	1	2	2	2	2	2	2	3	1	2	2	1	2	2	2	3	2	2	3	2	3	3	3	2	2	2	2	1	1	1	1	1	2	3	2	2	1	3	3	3	3	3	3	3	3	3	3	2	2	1	3	3	1	3	2	3	3	2	1	2	3			1	1		3			3			3			1	1		1	1		1	1		1	1		1	1		1	1		1	1		1	1		1	1		1	1		1	1		1	1		1	1		1	1		1	1		1	1		1	1	
